127.0.0.1, 2018-08-27 10:52:54, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.030571
127.0.0.1, 2018-08-27 10:53:10, GET, /FristSample/displayhelloword/index, HTTP/1.1, 500, 0.017965
127.0.0.1, 2018-08-27 10:54:20, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.024409
127.0.0.1, 2018-08-27 10:55:17, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.021041
127.0.0.1, 2018-08-27 10:56:47, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.020610
127.0.0.1, 2018-08-27 10:57:09, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.021436
127.0.0.1, 2018-08-27 10:57:40, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.023232
127.0.0.1, 2018-08-27 10:58:01, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.021030
127.0.0.1, 2018-08-27 10:58:22, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.023213
127.0.0.1, 2018-08-27 10:59:39, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.023618
127.0.0.1, 2018-08-27 11:00:01, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.024239
127.0.0.1, 2018-08-27 15:57:15, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000515
127.0.0.1, 2018-08-27 15:57:15, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000869
127.0.0.1, 2018-08-27 15:57:15, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001372
127.0.0.1, 2018-08-27 15:57:15, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000780
127.0.0.1, 2018-08-27 15:57:15, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000296
127.0.0.1, 2018-08-27 15:57:15, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000372
127.0.0.1, 2018-08-27 15:57:15, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.008033
127.0.0.1, 2018-08-27 15:57:15, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.000951
127.0.0.1, 2018-08-27 15:57:15, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000930
127.0.0.1, 2018-08-27 15:57:30, GET, /, HTTP/1.1, 303, 15.018680
127.0.0.1, 2018-08-27 15:57:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.147494
127.0.0.1, 2018-08-27 15:57:51, GET, /FristSample/displayhelloword/abc, HTTP/1.1, 404, 0.094803
127.0.0.1, 2018-08-27 15:57:59, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.034898
127.0.0.1, 2018-08-27 15:58:33, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.029560
127.0.0.1, 2018-08-27 16:22:33, GET, /FristSample/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.002496
127.0.0.1, 2018-08-27 16:22:33, GET, /FristSample/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002525
127.0.0.1, 2018-08-27 16:22:33, GET, /FristSample/static/js/jquery.js, HTTP/1.1, 304, 0.003005
127.0.0.1, 2018-08-27 16:22:33, GET, /FristSample/static/css/calendar.css, HTTP/1.1, 304, 0.005051
127.0.0.1, 2018-08-27 16:22:33, GET, /FristSample/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000836
127.0.0.1, 2018-08-27 16:22:33, GET, /FristSample/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.000409
127.0.0.1, 2018-08-27 16:22:33, GET, /FristSample/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001916
127.0.0.1, 2018-08-27 16:22:33, GET, /FristSample/static/js/web2py.js, HTTP/1.1, 304, 0.000401
127.0.0.1, 2018-08-27 16:22:33, GET, /FristSample/static/js/calendar.js, HTTP/1.1, 304, 0.005616
127.0.0.1, 2018-08-27 16:22:33, GET, /FristSample/displayhelloword/index, HTTP/1.1, 200, 0.050559
127.0.0.1, 2018-08-27 16:22:33, GET, /FristSample/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000529
127.0.0.1, 2018-08-27 16:22:33, GET, /FristSample/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000889
127.0.0.1, 2018-08-27 16:22:33, GET, /FristSample/static/js/jquery.js, HTTP/1.1, 304, 0.000741
127.0.0.1, 2018-08-27 16:22:33, GET, /FristSample/static/css/calendar.css, HTTP/1.1, 304, 0.001366
127.0.0.1, 2018-08-27 16:22:33, GET, /FristSample/static/js/web2py.js, HTTP/1.1, 304, 0.000793
127.0.0.1, 2018-08-27 16:22:33, GET, /FristSample/static/js/calendar.js, HTTP/1.1, 304, 0.001786
127.0.0.1, 2018-08-27 16:22:33, GET, /FristSample/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001178
127.0.0.1, 2018-08-27 16:22:33, GET, /FristSample/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.002542
127.0.0.1, 2018-08-27 16:22:33, GET, /FristSample/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.005310
127.0.0.1, 2018-08-28 11:02:00, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000700
127.0.0.1, 2018-08-28 11:02:00, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001523
127.0.0.1, 2018-08-28 11:02:00, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004074
127.0.0.1, 2018-08-28 11:02:00, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.002455
127.0.0.1, 2018-08-28 11:02:00, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.003242
127.0.0.1, 2018-08-28 11:02:00, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001924
127.0.0.1, 2018-08-28 11:02:00, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001181
127.0.0.1, 2018-08-28 11:02:00, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000697
127.0.0.1, 2018-08-28 11:02:00, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.000765
127.0.0.1, 2018-08-28 11:02:15, GET, /, HTTP/1.1, 303, 15.013333
127.0.0.1, 2018-08-28 11:02:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.181641
127.0.0.1, 2018-08-28 11:02:24, GET, /welcome/default/index, HTTP/1.1, 200, 0.030959
127.0.0.1, 2018-08-28 11:02:27, GET, /, HTTP/1.1, 303, 0.000422
127.0.0.1, 2018-08-28 11:02:27, GET, /welcome/default/index, HTTP/1.1, 200, 0.025297
127.0.0.1, 2018-08-28 11:02:31, GET, /FristSample/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000406
127.0.0.1, 2018-08-28 11:02:31, GET, /FristSample/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000359
127.0.0.1, 2018-08-28 11:02:31, GET, /FristSample/static/js/jquery.js, HTTP/1.1, 304, 0.000345
127.0.0.1, 2018-08-28 11:02:31, GET, /FristSample/static/css/calendar.css, HTTP/1.1, 304, 0.000369
127.0.0.1, 2018-08-28 11:02:31, GET, /FristSample/static/js/calendar.js, HTTP/1.1, 304, 0.000426
127.0.0.1, 2018-08-28 11:02:31, GET, /FristSample/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.000914
127.0.0.1, 2018-08-28 11:02:31, GET, /FristSample/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000845
127.0.0.1, 2018-08-28 11:02:31, GET, /FristSample/static/js/web2py.js, HTTP/1.1, 304, 0.000773
127.0.0.1, 2018-08-28 11:02:31, GET, /FristSample/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000466
127.0.0.1, 2018-08-28 11:02:31, GET, /FristSample/displayhelloword/index, HTTP/1.1, 500, 0.321138
127.0.0.1, 2018-08-28 11:02:52, GET, /admin/default/ticket/FristSample/127.0.0.1.2018-08-28.11-02-31.2307feb3-93f1-4637-84cf-4e1e248e8f73, HTTP/1.1, 200, 0.224036
127.0.0.1, 2018-08-28 11:03:54, GET, /FristSample/displayhelloword/index, HTTP/1.1, 500, 0.090940
127.0.0.1, 2018-08-28 11:05:22, GET, /FristSample/displayhelloword/index, HTTP/1.1, 500, 0.226139
127.0.0.1, 2018-08-28 11:06:54, GET, /FristSample/displayhelloword/index, HTTP/1.1, 500, 0.051758
